Player,Squad,league_name,Pos_clean,role_group,Age,Min,starter_label,age_sq,Gls_per90,Ast_per90,G+A_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,CrdY_per90,CrdR_per90,starter_probability
Niclas Füllkrug,West Ham United,Premier League,FW,FW,33.0,409,1,1089.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.4444444444444446,0.2222222222222222,0.4444444444444444,0.0,0.4444444444444444,0.2222222222222222,0.0,0.0,0.47027374284863965
Niclas Füllkrug,Milan,Serie A,FW,FW,33.0,368,0,1089.0,0.24390243902439027,0.0,0.24390243902439027,3.1707317073170733,0.9756097560975611,1.4634146341463417,1.4634146341463417,2.1951219512195124,0.24390243902439027,0.48780487804878053,0.48780487804878053,0.0,0.0,0.5116891059487539
Ignatius Ganago,Nantes,Ligue 1,FW,FW,27.0,242,1,729.0,0.37037037037037035,0.0,0.37037037037037035,1.8518518518518516,0.7407407407407407,1.111111111111111,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.0,0.0,0.0,0.0,0.7968341173553356
Gonzalo García,Real Madrid,La Liga,FW,FW,21.0,676,0,441.0,0.5333333333333333,0.0,0.5333333333333333,1.8666666666666667,1.2,0.6666666666666666,0.4,0.0,0.13333333333333333,0.26666666666666666,0.9333333333333333,0.13333333333333333,0.0,0.2248615290359016
Willem Geubbels,Paris FC,Ligue 1,FW,FW,24.0,725,0,576.0,0.3703703703703704,0.0,0.3703703703703704,2.8395061728395063,0.7407407407407408,1.8518518518518519,0.2469135802469136,0.8641975308641976,0.8641975308641976,0.4938271604938272,0.1234567901234568,0.0,0.0,0.5672476083437576
Rachid Ghezzal,Lyon,Ligue 1,FW,FW,33.0,153,0,1089.0,0.0,0.0,0.0,1.7647058823529411,0.5882352941176471,2.3529411764705883,0.5882352941176471,0.5882352941176471,6.470588235294118,0.0,1.1764705882352942,0.0,0.0,0.10780229594899027
Santiago Giménez,Milan,Serie A,FW,FW,24.0,621,1,576.0,0.0,0.0,0.0,3.043478260869565,1.0144927536231882,1.0144927536231882,1.4492753623188406,0.8695652173913043,0.14492753623188406,0.14492753623188406,0.5797101449275363,0.14492753623188406,0.0,0.5401395840756652
Giovane,Napoli,Serie A,FW,FW,22.0,111,0,484.0,0.0,0.8333333333333334,0.8333333333333334,1.6666666666666667,0.0,2.5,4.166666666666667,0.8333333333333334,4.166666666666667,0.0,0.0,0.0,0.0,0.11863029395961239
Olivier Giroud,Lille,Ligue 1,FW,FW,39.0,1458,1,1521.0,0.308641975308642,0.0617283950617284,0.3703703703703704,2.345679012345679,0.8024691358024691,1.6049382716049383,1.6666666666666667,0.4320987654320988,0.1234567901234568,0.2469135802469136,0.3703703703703704,0.1234567901234568,0.0,0.8878470264972876
Robert Glatzel,Hamburger SV,Bundesliga,FW,FW,32.0,295,0,1024.0,0.30303030303030304,0.30303030303030304,0.6060606060606061,2.7272727272727275,1.2121212121212122,1.5151515151515151,1.2121212121212122,0.0,0.30303030303030304,0.0,0.0,0.0,0.0,0.4001391891073149
